Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg,Population,Date,Cases_per_1000,Prev_Cases,Case_Growth_Rate,Month_encoded,Month_sin,Month_cos
2020,Southern,Galle,6.0808434,80.23373,8.0,8.0,60.0,26.70357142857143,6.34642857142857,85.0,,2020-08-01,0.0,101.0,-0.40594059405940597,8,-0.8660254037844385,-0.5000000000000004
2020,Southern,Galle,6.0808434,80.23373,8.0,9.0,67.0,26.1375,11.14285714285714,87.07142857142857,,2020-09-01,0.0,60.0,0.11666666666666667,9,-1.0,-1.8369701987210297e-16
2020,Southern,Galle,6.0808434,80.23373,8.0,10.0,27.0,26.667857142857144,4.7714285714285705,83.82142857142857,,2020-10-01,0.0,67.0,-0.5970149253731343,10,-0.8660254037844386,0.5000000000000001
2020,Southern,Galle,6.0808434,80.23373,8.0,11.0,17.0,26.1875,18.821428571428573,86.85714285714286,,2020-11-01,0.0,27.0,-0.37037037037037035,11,-0.5000000000000004,0.8660254037844384
2020,Southern,Galle,6.0808434,80.23373,8.0,12.0,12.0,25.89107142857143,5.4071428571428575,85.60714285714286,,2020-12-01,0.0,17.0,-0.29411764705882354,12,-2.4492935982947064e-16,1.0
2021,Southern,Galle,6.0808434,80.23373,8.0,1.0,23.0,25.408928571428568,9.29285714285714,87.60714285714286,,2021-01-01,0.0,12.0,0.9166666666666666,1,0.49999999999999994,0.8660254037844387
2021,Southern,Galle,6.0808434,80.23373,8.0,2.0,20.0,25.846428571428568,3.092857142857144,84.92857142857143,,2021-02-01,0.0,23.0,-0.13043478260869565,2,0.8660254037844386,0.5000000000000001
2021,Southern,Galle,6.0808434,80.23373,8.0,3.0,33.0,26.54285714285715,5.728571428571429,82.67857142857143,,2021-03-01,0.0,20.0,0.65,3,1.0,6.123233995736766e-17
2021,Southern,Galle,6.0808434,80.23373,8.0,4.0,53.0,27.00178571428572,2.639285714285715,83.42857142857143,,2021-04-01,0.0,33.0,0.6060606060606061,4,0.8660254037844387,-0.4999999999999998
2021,Southern,Galle,6.0808434,80.23373,8.0,5.0,7.0,27.06428571428572,11.139285714285714,85.14285714285714,,2021-05-01,0.0,53.0,-0.8679245283018868,5,0.49999999999999994,-0.8660254037844387
2021,Southern,Galle,6.0808434,80.23373,8.0,6.0,100.0,26.80178571428572,7.985714285714287,83.78571428571429,,2021-06-01,0.0,7.0,13.285714285714286,6,1.2246467991473532e-16,-1.0
2021,Southern,Galle,6.0808434,80.23373,8.0,7.0,56.0,26.558928571428574,12.517857142857142,85.10714285714286,,2021-07-01,0.0,100.0,-0.44,7,-0.4999999999999997,-0.8660254037844388
2021,Southern,Galle,6.0808434,80.23373,8.0,8.0,31.0,26.18928571428572,9.346428571428572,85.71428571428571,,2021-08-01,0.0,56.0,-0.44642857142857145,8,-0.8660254037844385,-0.5000000000000004
2021,Southern,Galle,6.0808434,80.23373,8.0,9.0,41.0,26.401785714285715,9.582142857142856,85.64285714285714,,2021-09-01,0.0,31.0,0.3225806451612903,9,-1.0,-1.8369701987210297e-16
